Year,Age,AgeGr,w,Sex,COD
1925,0,<1,1,Female,Other
1925,0,<1,1,Male,Other
1925,1,1-4,4,Female,Other
1925,1,1-4,4,Male,Other
1925,5,5-9,5,Female,Other
1925,5,5-9,5,Male,Other
1925,10,10-14,5,Female,Other
1925,10,10-14,5,Male,Other
1925,15,15-19,5,Female,Infections
1925,15,15-19,5,Male,Other
1925,20,20-24,5,Female,Infections
1925,20,20-24,5,Male,Infections
1925,25,25-29,5,Female,Infections
1925,25,25-29,5,Male,Infections
1925,30,30-34,5,Female,Other
1925,30,30-34,5,Male,Infections
1925,35,35-39,5,Female,Other
1925,35,35-39,5,Male,Other
1925,40,40-44,5,Female,Other
1925,40,40-44,5,Male,Other
1925,45,45-49,5,Female,Other
1925,45,45-49,5,Male,Other
1925,50,50-54,5,Female,Other
1925,50,50-54,5,Male,Other
1925,55,55-59,5,Female,Other
1925,55,55-59,5,Male,Other
1925,60,60-64,5,Female,Other
1925,60,60-64,5,Male,Other
1925,65,65-69,5,Female,Other
1925,65,65-69,5,Male,Other
1925,70,70-74,5,Female,Other
1925,70,70-74,5,Male,Other
1925,75,75-79,5,Female,Other
1925,75,75-79,5,Male,Other
1925,80,80-84,5,Female,Other
1925,80,80-84,5,Male,Other
1925,85,85-89,5,Female,Other
1925,85,85-89,5,Male,Other
1925,90,90-94,5,Female,Other
1925,90,90-94,5,Male,Other
1925,95,95-99,5,Female,Other
1925,95,95-99,5,Male,Other
1925,100,100+,5,Female,Other
1925,100,100+,5,Male,Other
1926,0,<1,1,Female,Other
1926,0,<1,1,Male,Other
1926,1,1-4,4,Female,Other
1926,1,1-4,4,Male,Other
1926,5,5-9,5,Female,Other
1926,5,5-9,5,Male,Other
1926,10,10-14,5,Female,Other
1926,10,10-14,5,Male,Other
1926,15,15-19,5,Female,Infections
1926,15,15-19,5,Male,Infections
1926,20,20-24,5,Female,Infections
1926,20,20-24,5,Male,Infections
1926,25,25-29,5,Female,Infections
1926,25,25-29,5,Male,Infections
1926,30,30-34,5,Female,Other
1926,30,30-34,5,Male,Infections
1926,35,35-39,5,Female,Other
1926,35,35-39,5,Male,Other
1926,40,40-44,5,Female,Other
1926,40,40-44,5,Male,Other
1926,45,45-49,5,Female,Other
1926,45,45-49,5,Male,Other
1926,50,50-54,5,Female,Other
1926,50,50-54,5,Male,Other
1926,55,55-59,5,Female,Other
1926,55,55-59,5,Male,Other
1926,60,60-64,5,Female,Other
1926,60,60-64,5,Male,Other
1926,65,65-69,5,Female,Other
1926,65,65-69,5,Male,Other
1926,70,70-74,5,Female,Other
1926,70,70-74,5,Male,Other
1926,75,75-79,5,Female,Other
1926,75,75-79,5,Male,Other
