Country,Timeframe,Sex,Year,Age,Dx,Nx,mx
SWE,Period,Female,1751,0,5988,28214.05,0.21223
SWE,Period,Male,1751,0,6902,28626.58,0.2411
SWE,Period,Female,1751,1,1286.45,26035.03,0.04941
SWE,Period,Male,1751,1,1359.88,25682.81,0.05295
SWE,Period,Female,1751,2,834.56,25880.11,0.03225
SWE,Period,Male,1751,2,882.13,25504.4,0.03459
SWE,Period,Female,1751,3,622,23917.92,0.02601
SWE,Period,Male,1751,3,655.26,23500.67,0.02788
SWE,Period,Female,1751,4,470.99,19876.49,0.0237
SWE,Period,Male,1751,4,497.74,19373.38,0.02569
SWE,Period,Female,1751,5,339,18069.18,0.01876
SWE,Period,Male,1751,5,364.84,17539.21,0.0208
SWE,Period,Female,1751,6,233.88,18051.53,0.01296
SWE,Period,Male,1751,6,259.28,17716.63,0.01463
SWE,Period,Female,1751,7,157.58,17969.14,0.00877
SWE,Period,Male,1751,7,181.76,17912.86,0.01015
SWE,Period,Female,1751,8,110.1,18115.02,0.00608
SWE,Period,Male,1751,8,132.28,18276.11,0.00724
SWE,Period,Female,1751,9,91.45,18515.36,0.00494
SWE,Period,Male,1751,9,110.83,18800.71,0.00589
SWE,Period,Female,1751,10,96.28,18505.14,0.0052
SWE,Period,Male,1751,10,112.29,18675.48,0.00601
SWE,Period,Female,1751,11,103.19,17954.22,0.00575
SWE,Period,Male,1751,11,116.2,17886.97,0.0065
SWE,Period,Female,1751,12,106.86,17322.98,0.00617
SWE,Period,Male,1751,12,117.46,17127.26,0.00686
SWE,Period,Female,1751,13,107.26,16689.95,0.00643
SWE,Period,Male,1751,13,116.05,16450.93,0.00705
SWE,Period,Female,1751,14,104.41,16140.99,0.00647
SWE,Period,Male,1751,14,111.99,15907.71,0.00704
SWE,Period,Female,1751,15,99.22,16203.55,0.00612
SWE,Period,Male,1751,15,106.15,15743.08,0.00674
SWE,Period,Female,1751,16,95.41,16741.36,0.0057
SWE,Period,Male,1751,16,102.05,15912.12,0.00641
SWE,Period,Female,1751,17,93.9,17016.72,0.00552
SWE,Period,Male,1751,17,100.57,15906.3,0.00632
SWE,Period,Female,1751,18,94.69,17152.6,0.00552
SWE,Period,Male,1751,18,101.72,15525.9,0.00655
SWE,Period,Female,1751,19,97.78,17307.7,0.00565
SWE,Period,Male,1751,19,105.5,14968.11,0.00705
SWE,Period,Female,1751,20,102.69,17115.33,0.006
SWE,Period,Male,1751,20,111.24,14479.39,0.00768
SWE,Period,Female,1751,21,107.5,16627.88,0.00647
SWE,Period,Male,1751,21,116.38,14054.87,0.00828
SWE,Period,Female,1751,22,111.77,16218.95,0.00689
SWE,Period,Male,1751,22,120.26,13772.78,0.00873
SWE,Period,Female,1751,23,115.45,15898.01,0.00726
SWE,Period,Male,1751,23,122.88,13782.11,0.00892
SWE,Period,Female,1751,24,118.59,15537.16,0.00763
SWE,Period,Male,1751,24,124.24,13821.8,0.00899
SWE,Period,Female,1751,25,121.49,15320.01,0.00793
SWE,Period,Male,1751,25,124.71,13829.11,0.00902
SWE,Period,Female,1751,26,125.55,15358.54,0.00817
SWE,Period,Male,1751,26,125.73,13885.7,0.00905
SWE,Period,Female,1751,27,131.1,15395.01,0.00852
SWE,Period,Male,1751,27,127.68,13812.16,0.00924
SWE,Period,Female,1751,28,138.16,15390.89,0.00898
SWE,Period,Male,1751,28,130.54,13693.83,0.00953
SWE,Period,Female,1751,29,146.7,15296.54,0.00959
SWE,Period,Male,1751,29,134.34,13593.1,0.00988
SWE,Period,Female,1751,30,155.69,14725.04,0.01057
SWE,Period,Male,1751,30,138.39,13124.55,0.01054
SWE,Period,Female,1751,31,160.83,13753.72,0.01169
SWE,Period,Male,1751,31,139.99,12289.69,0.01139
SWE,Period,Female,1751,32,161.1,12770.3,0.01262
SWE,Period,Male,1751,32,138.51,11465.77,0.01208
SWE,Period,Female,1751,33,156.45,11813.53,0.01324
SWE,Period,Male,1751,33,133.9,10734.49,0.01247
SWE,Period,Female,1751,34,146.93,10955.35,0.01341
SWE,Period,Male,1751,34,126.21,10102.04,0.01249
SWE,Period,Female,1751,35,134.26,10648.1,0.01261
SWE,Period,Male,1751,35,116.66,9873.71,0.01182
SWE,Period,Female,1751,36,125.44,10922.23,0.01148
